                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    156,                 1.2753,                 0.5374,                0.93945,                0.90606,                0.87527,                 0.9313,                0.60149,                 1.3908,                0.55808,                 0.9783,               0.002377,               0.002377,               0.002377
                    157,                 1.2788,                0.53739,                0.93786,                0.90674,                0.87387,                0.93134,                0.60201,                 1.3911,                0.55792,                 0.9784,              0.0023275,              0.0023275,              0.0023275
                    158,                 1.2792,                0.53878,                0.94041,                0.90772,                0.87404,                 0.9318,                0.60293,                 1.3913,                0.55795,                0.97865,               0.002278,               0.002278,               0.002278
                    159,                 1.2825,                0.54144,                0.93898,                0.90757,                0.87488,                0.93181,                0.60237,                 1.3912,                0.55811,                0.97857,              0.0022285,              0.0022285,              0.0022285
                    160,                 1.2609,                0.53293,                 0.9391,                0.90746,                0.87421,                0.93172,                0.60277,                 1.3913,                0.55812,                0.97869,               0.002179,               0.002179,               0.002179
                    161,                 1.2745,                0.53674,                0.93897,                0.90596,                0.87577,                0.93203,                0.60279,                 1.3914,                0.55817,                0.97874,              0.0021295,              0.0021295,              0.0021295
                    162,                 1.2658,                0.53256,                0.93639,                0.90749,                0.87476,                0.93273,                0.60291,                 1.3915,                0.55812,                0.97885,                0.00208,                0.00208,                0.00208
                    163,                 1.2612,                0.53042,                0.93885,                0.90719,                 0.8741,                0.93224,                0.60281,                 1.3919,                0.55807,                0.97898,              0.0020305,              0.0020305,              0.0020305
                    164,                 1.2732,                0.53499,                0.93619,                0.90616,                0.87578,                0.93215,                0.60296,                 1.3921,                0.55799,                0.97908,               0.001981,               0.001981,               0.001981
                    165,                 1.2619,                0.53219,                0.93666,                0.90499,                0.87903,                0.93211,                0.60317,                 1.3923,                0.55812,                0.97902,              0.0019315,              0.0019315,              0.0019315
                    166,                 1.2675,                0.53226,                0.93714,                0.90495,                0.87966,                0.93197,                0.60306,                 1.3924,                0.55791,                0.97919,               0.001882,               0.001882,               0.001882
                    167,                 1.2659,                0.53225,                0.93748,                0.90569,                0.87923,                0.93219,                0.60314,                 1.3925,                0.55848,                0.97926,              0.0018325,              0.0018325,              0.0018325
                    168,                 1.2626,                0.53064,                0.93345,                0.90601,                0.87919,                0.93213,                0.60336,                 1.3928,                0.55846,                0.97938,               0.001783,               0.001783,               0.001783
                    169,                  1.256,                0.52789,                0.93453,                 0.9065,                0.87775,                0.93243,                0.60341,                 1.3928,                0.55842,                0.97954,              0.0017335,              0.0017335,              0.0017335
                    170,                 1.2555,                 0.5284,                0.93229,                0.90907,                0.87495,                0.93191,                0.60314,                 1.3932,                0.55847,                0.97955,               0.001684,               0.001684,               0.001684
                    171,                 1.2646,                0.52916,                0.93319,                0.90876,                0.87589,                  0.932,                0.60386,                 1.3932,                0.55837,                0.97957,              0.0016345,              0.0016345,              0.0016345
                    172,                  1.259,                0.52769,                0.93285,                0.90768,                0.87498,                0.93192,                0.60424,                 1.3932,                 0.5585,                0.97958,               0.001585,               0.001585,               0.001585
                    173,                 1.2574,                0.52685,                0.93302,                0.90827,                0.87584,                0.93247,                0.60387,                 1.3932,                0.55816,                0.97969,              0.0015355,              0.0015355,              0.0015355
                    174,                 1.2576,                0.52674,                 0.9324,                0.90833,                 0.8766,                0.93216,                0.60341,                 1.3935,                0.55826,                 0.9798,               0.001486,               0.001486,               0.001486
                    175,                  1.255,                0.52771,                0.93163,                0.90906,                0.87593,                0.93214,                0.60324,                 1.3935,                0.55837,                0.97975,              0.0014365,              0.0014365,              0.0014365
                    176,                 1.2426,                 0.5206,                0.93066,                0.90855,                0.87542,                0.93194,                0.60341,                 1.3935,                0.55868,                0.97979,               0.001387,               0.001387,               0.001387
                    177,                 1.2473,                0.52312,                0.93156,                 0.9078,                0.87638,                0.93189,                0.60363,                 1.3936,                0.55892,                0.97978,              0.0013375,              0.0013375,              0.0013375
