                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     36,                 1.4384,                0.65053,                0.99247,                 0.8923,                0.82682,                0.89308,                0.56491,                 1.4105,                0.61496,                0.98687,               0.008317,               0.008317,               0.008317
                     37,                 1.4291,                0.64769,                0.98935,                0.89381,                0.84277,                0.91322,                0.57827,                 1.4067,                0.61596,                0.98417,              0.0082675,              0.0082675,              0.0082675
                     38,                 1.4291,                0.64305,                0.98846,                0.90297,                0.82638,                0.89431,                0.56943,                 1.4061,                0.61424,                0.98535,               0.008218,               0.008218,               0.008218
                     39,                 1.4306,                0.64114,                0.99134,                0.88718,                0.84186,                0.90583,                0.57375,                 1.4164,                0.61328,                 0.9908,              0.0081685,              0.0081685,              0.0081685
                     40,                 1.4194,                0.63942,                0.98947,                0.89532,                0.83345,                0.90451,                 0.5743,                 1.4048,                0.60998,                0.98462,               0.008119,               0.008119,               0.008119
                     41,                 1.4262,                0.64324,                0.98824,                0.89394,                0.84218,                0.90499,                0.57693,                 1.4123,                0.61044,                0.98667,              0.0080695,              0.0080695,              0.0080695
                     42,                 1.4254,                0.63871,                 0.9862,                0.89232,                0.84217,                0.90583,                0.58038,                 1.4102,                0.60425,                0.98534,                0.00802,                0.00802,                0.00802
                     43,                 1.4219,                 0.6371,                0.98865,                0.88958,                0.83719,                    0.9,                0.57243,                  1.402,                0.60704,                0.98545,              0.0079705,              0.0079705,              0.0079705
                     44,                 1.4212,                0.63736,                0.98692,                0.89496,                 0.8456,                0.91315,                0.57686,                 1.4056,                 0.6029,                0.98598,               0.007921,               0.007921,               0.007921
                     45,                 1.4133,                0.63215,                0.98689,                0.90367,                0.83448,                0.90662,                0.57896,                 1.4094,                0.60449,                0.98512,              0.0078715,              0.0078715,              0.0078715
                     46,                 1.4162,                0.62969,                0.98453,                0.90243,                0.84193,                0.91597,                0.58297,                 1.3969,                0.60008,                0.98365,               0.007822,               0.007822,               0.007822
                     47,                 1.4114,                0.62913,                0.98683,                0.90544,                0.83859,                0.90403,                0.57897,                 1.3998,                0.59801,                0.98496,              0.0077725,              0.0077725,              0.0077725
                     48,                 1.4107,                0.62747,                0.98357,                0.90673,                0.84676,                0.90617,                0.57897,                  1.401,                0.59323,                0.98513,               0.007723,               0.007723,               0.007723
                     49,                 1.4211,                0.62839,                0.98511,                0.89201,                0.84933,                0.90813,                0.57968,                 1.3999,                0.59485,                0.98023,              0.0076735,              0.0076735,              0.0076735
                     50,                 1.4087,                0.62758,                0.98238,                0.89627,                0.83393,                0.91088,                0.58271,                 1.3982,                0.59696,                0.98288,               0.007624,               0.007624,               0.007624
                     51,                 1.4076,                0.62745,                0.98244,                0.90485,                0.84397,                0.91595,                0.58354,                 1.4056,                0.59154,                0.98399,              0.0075745,              0.0075745,              0.0075745
                     52,                 1.4089,                0.62456,                 0.9827,                0.89385,                0.85973,                 0.9186,                0.58776,                 1.3956,                0.58936,                0.98049,               0.007525,               0.007525,               0.007525
                     53,                   1.41,                0.62443,                0.97991,                 0.9015,                0.83418,                0.89758,                 0.5729,                 1.3942,                 0.5961,                0.98026,              0.0074755,              0.0074755,              0.0074755
                     54,                 1.4025,                0.61969,                0.98182,                0.90692,                0.85104,                0.92108,                0.58978,                 1.3983,                0.58699,                0.98204,               0.007426,               0.007426,               0.007426
                     55,                 1.4075,                0.61982,                0.98052,                0.90416,                0.84353,                 0.9152,                 0.5843,                 1.3955,                0.59183,                0.98279,              0.0073765,              0.0073765,              0.0073765
                     56,                 1.3985,                0.61995,                0.98236,                0.90048,                0.85528,                0.91713,                0.58674,                 1.3903,                0.58712,                0.98206,               0.007327,               0.007327,               0.007327
                     57,                 1.3961,                0.61689,                0.98017,                0.89598,                0.85596,                0.92487,                0.59192,                 1.3894,                0.58541,                0.98037,              0.0072775,              0.0072775,              0.0072775
                     58,                 1.3987,                0.61749,                0.98084,                0.89965,                0.85325,                0.91071,                0.58254,                 1.3913,                0.58867,                0.97974,               0.007228,               0.007228,               0.007228
                     59,                 1.4011,                0.61734,                0.97976,                0.90595,                0.85267,                0.92106,                0.59049,                 1.3915,                 0.5821,                0.97916,              0.0071785,              0.0071785,              0.0071785
                     60,                 1.3907,                0.61401,                 0.9783,                  0.907,                0.85444,                0.92235,                 0.5925,                 1.3917,                0.58025,                0.97915,               0.007129,               0.007129,               0.007129
                     61,                 1.3924,                0.61195,                 0.9749,                0.90181,                0.84814,                0.92082,                0.58993,                 1.3881,                0.57989,                0.97892,              0.0070795,              0.0070795,              0.0070795
                     62,                 1.3958,                0.61418,                0.97721,                0.90841,                0.84543,                0.92213,                0.58823,                 1.3986,                0.58475,                0.98148,                0.00703,                0.00703,                0.00703
                     63,                 1.3875,                0.60926,                0.97553,                0.91288,                  0.843,                0.92107,                0.58936,                 1.3942,                0.58018,                0.97783,              0.0069805,              0.0069805,              0.0069805
                     64,                 1.3877,                0.61005,                0.97442,                0.90378,                0.85411,                0.92514,                0.59316,                 1.3854,                0.57904,                0.97707,               0.006931,               0.006931,               0.006931
                     65,                 1.3785,                0.60844,                0.97795,                0.90554,                0.86457,                0.92677,                0.59336,                 1.3881,                0.57471,                0.97949,              0.0068815,              0.0068815,              0.0068815
                     66,                  1.386,                0.60709,                0.97279,                0.90669,                0.85273,                0.92302,                0.59295,                  1.389,                0.57639,                 0.9789,               0.006832,               0.006832,               0.006832
                     67,                 1.3824,                0.60633,                0.97553,                0.90976,                0.85287,                0.92293,                0.59324,                 1.3908,                0.57753,                0.97754,              0.0067825,              0.0067825,              0.0067825
                     68,                 1.3882,                 0.6063,                 0.9724,                0.90534,                0.85059,                0.92218,                0.58965,                 1.3889,                 0.5763,                0.98119,               0.006733,               0.006733,               0.006733
                     69,                 1.3811,                0.60445,                 0.9742,                0.90615,                0.84395,                0.92078,                0.59299,                 1.3881,                 0.5773,                0.97832,              0.0066835,              0.0066835,              0.0066835
                     70,                  1.379,                0.60448,                0.97372,                0.90618,                0.85566,                0.92195,                0.59118,                 1.3899,                0.57541,                0.97994,               0.006634,               0.006634,               0.006634
                     71,                 1.3827,                0.60321,                0.97325,                0.90398,                0.85705,                0.92173,                0.59344,                 1.3838,                0.57096,                0.97699,              0.0065845,              0.0065845,              0.0065845
                     72,                 1.3817,                0.60231,                0.97278,                0.90585,                0.85478,                0.92921,                 0.5968,                 1.3855,                0.57236,                0.97772,               0.006535,               0.006535,               0.006535
                     73,                 1.3778,                 0.6026,                0.97464,                0.90564,                0.85891,                0.92844,                0.59784,                 1.3807,                 0.5716,                0.97622,              0.0064855,              0.0064855,              0.0064855
                     74,                 1.3804,                0.60033,                0.97053,                0.90397,                0.86083,                0.92736,                0.59973,                 1.3825,                0.56915,                0.97637,               0.006436,               0.006436,               0.006436
                     75,                 1.3861,                0.60162,                0.97269,                0.90903,                0.85711,                0.92608,                0.59841,                 1.3842,                0.57224,                0.97754,              0.0063865,              0.0063865,              0.0063865
                     76,                 1.3848,                0.60123,                0.97113,                0.90252,                 0.8741,                0.92864,                0.59886,                 1.3848,                0.56922,                0.97673,               0.006337,               0.006337,               0.006337
                     77,                 1.3781,                0.59834,                0.97294,                0.89949,                0.86708,                0.92621,                 0.5985,                 1.3871,                0.56998,                 0.9782,              0.0062875,              0.0062875,              0.0062875
                     78,                 1.3747,                0.59844,                0.96819,                0.89993,                0.86689,                0.92776,                0.59849,                 1.3857,                0.56992,                0.97667,               0.006238,               0.006238,               0.006238
                     79,                 1.3696,                0.59448,                0.96692,                0.89939,                  0.865,                0.92554,                0.59761,                 1.3863,                 0.5691,                0.97712,              0.0061885,              0.0061885,              0.0061885
                     80,                 1.3676,                0.59636,                0.97111,                0.89321,                0.87007,                 0.9262,                0.59718,                 1.3823,                0.57156,                0.97687,               0.006139,               0.006139,               0.006139
                     81,                  1.375,                0.59647,                 0.9697,                0.91436,                0.85132,                0.92431,                0.59742,                 1.3821,                0.57015,                0.97701,              0.0060895,              0.0060895,              0.0060895
                     82,                 1.3593,                0.59154,                 0.9679,                0.90974,                0.84972,                0.92029,                0.59572,                  1.382,                0.56999,                0.97656,                0.00604,                0.00604,                0.00604
                     83,                 1.3617,                0.59052,                0.96974,                0.90888,                0.86576,                0.93095,                0.60214,                 1.3837,                0.56655,                0.97595,              0.0059905,              0.0059905,              0.0059905
                     84,                 1.3596,                0.58791,                0.96782,                0.89881,                0.86999,                0.92982,                0.59996,                  1.385,                 0.5688,                0.97678,               0.005941,               0.005941,               0.005941
                     85,                 1.3706,                0.59305,                0.96739,                0.90799,                0.86945,                0.93132,                0.60041,                 1.3841,                0.56845,                 0.9775,              0.0058915,              0.0058915,              0.0058915
                     86,                 1.3534,                0.58715,                0.96649,                 0.9011,                0.86794,                0.92826,                0.60035,                 1.3834,                0.56876,                0.97745,               0.005842,               0.005842,               0.005842
                     87,                 1.3603,                0.58863,                0.96608,                 0.8997,                0.86948,                0.92821,                0.60221,                 1.3833,                0.56948,                0.97672,              0.0057925,              0.0057925,              0.0057925
                     88,                 1.3518,                0.58629,                0.96446,                0.90533,                0.86827,                0.92948,                0.60288,                 1.3834,                0.56811,                0.97528,               0.005743,               0.005743,               0.005743
                     89,                 1.3663,                0.58935,                0.96594,                0.90012,                 0.8774,                0.93086,                0.60342,                 1.3836,                0.56791,                0.97604,              0.0056935,              0.0056935,              0.0056935
                     90,                 1.3543,                0.58618,                0.96511,                0.89645,                0.87389,                0.92987,                0.60357,                 1.3807,                0.56433,                0.97545,               0.005644,               0.005644,               0.005644
